TxID,Method,Sender,TxHash,StartTime,EndTime,LatencyMs,BlockNumber,Status
P11_GrantPersonal_0,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0x4d01a1ef42e217ab13c4ab8993ef799fe27b9d2623189658ba224347b6e8d899,36471.455285999924,39592.93117599934,3121.48,5350,SUCCESS
P13_ApproveLoan_0,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x89b27b3fca1ae623acdaa4ca2c73970c4a83d5a387ab87b6cb38ad7baeca73b1,36468.01232200116,39593.962994001806,3125.95,5350,SUCCESS
P9_P10_ReqAccess_0,requestUserAccess,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0xff9e5ccb908a7e0cb982197dd0630e8853dde578b073c773d7bb9129ee3f4c73,36474.80900400132,39594.33556300029,3119.53,5350,SUCCESS
P11_GrantFinancial_0,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0x4010a889276dc1178f68061a675baa8cb46befc4afdba3b8c8a3348dae6d9f8e,36481.130129002035,39607.769623000175,3126.64,5350,SUCCESS
P9_P10_ReqAccess_3,requestUserAccess,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x4fb1e9b9ebf7f7e3237f5cc0befd4b3e12393a97c445c825350d5e0d9ac5f8fd,36504.9641110003,39640.01239500195,3135.05,5350,SUCCESS
P11_GrantPersonal_3,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0x9afb9410ecb599f8be2b826074f8ec732d38245e096b0373320d7653e2ae1f88,36515.66501599923,39645.78875999898,3130.12,5350,SUCCESS
P11_GrantPersonal_1,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0x4b2609c9b2ce1246a30d2ab2c1577f5c47b747bbab33d2e2ecac7567ca511f68,36517.25472100079,39646.15117499977,3128.90,5350,SUCCESS
P13_ApproveLoan_1,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x86b27ecb9c3fce9e57c2ca9efa0d85e48d1d1fe9d1d44dc39f6ecdd6b91c1650,36535.83852000162,39657.81002200022,3121.97,5350,SUCCESS
P9_P10_ReqAccess_1,requestUserAccess,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x392d098cfea79fa522b5dad4a6c3ce66d370c887275eac7ca34dd5b2f5f56bdb,36542.17388600111,39661.28872600198,3119.11,5350,SUCCESS
P9_P10_ReqAccess_2,requestUserAccess,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x4cf6c95c91bfd62b20d4461cd6a7a0baba39bf3324c190e8ab92be7227b53efc,36544.783493001014,39664.01176600158,3119.23,5350,SUCCESS
P11_GrantFinancial_1,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0x2ddb5193308ac1231761a0d15d0f0b55bd0ba4dc1b620faffb9928444d94bc2e,36547.94926800206,39664.33139000088,3116.38,5350,SUCCESS
