TxID,Method,Sender,TxHash,StartTime,EndTime,LatencyMs,BlockNumber,Status,EstimatedGas,GasUsed,BlockSize
P11_GrantPersonal_0,grantAccess,0xb38B4E1213c062905FC1A5CD17881382deDF8997,0x9ca17bb4e32254c3abf6868014a82afb140b4f41a60a7e1f9fdc0e49a78b22a6,9293.659789,13437.787412,4144.13,1823,SUCCESS,43810,43810,22658
P9_P10_ReqAccess_0,requestUserAccess,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0xef813b1afc097f7eba20e295a77ba641cc93e09f818a6b33d226b92eac996459,9296.887839,13438.812302,4141.92,1823,SUCCESS,48835,48835,22658
P11_GrantFinancial_0,grantAccess,0xb38B4E1213c062905FC1A5CD17881382deDF8997,0xd85ba993e2a8c2c04d9a868444c38cbc26256993a05529f144c7a0dc69020985,9309.044039,13446.619455,4137.58,1823,SUCCESS,43822,43822,22658
P13_ApproveLoan_4,approveLoan,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0xfe75dc9940413cad43ed1b6cbbec673c04f08f74900d12042224219ca68e7d93,9351.709055,13477.873607,4126.16,1823,SUCCESS,259804,259804,22658
P11_GrantPersonal_9,grantAccess,0xb2AaBba6EE87642EC287a7A44035dC0d1582C628,0xa087370b97005d1e8bde385fd498b35d7956edf74ea066ff13beb552c4cbade8,9354.754192,13478.275675,4123.52,1823,SUCCESS,43810,43810,22658
P13_ApproveLoan_12,approveLoan,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0x2576080fd610d87aa9320a427c1b45743d8b3dfa2802bee24454bf7b99cd3105,9357.007891,13480.481431,4123.47,1823,SUCCESS,259804,259804,22658
P11_GrantPersonal_10,grantAccess,0xb38B4E1213c062905FC1A5CD17881382deDF8997,0x26fa64bf56146e5e9ea3a6e1450c34736c229c7a9576d6bb17e51e695acfb8e7,9358.603538,13482.862626,4124.26,1823,SUCCESS,43810,43810,22658
P13_ApproveLoan_1,approveLoan,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0x734395600df6b1b279b85ff0c8ce77cfa1b47c0a0e0abe728a33849ec4e0bf0f,9360.117216,13483.125853,4123.01,1823,SUCCESS,259804,259804,22658
P11_GrantPersonal_2,grantAccess,0xb38B4E1213c062905FC1A5CD17881382deDF8997,0xa97dd1569fbb77fd3a003a6a395dbdabd22a7f779f5a4779b213a1de0ab2ffcc,9362.067854,13483.37008,4121.30,1823,SUCCESS,43810,43810,22658
P11_GrantFinancial_2,grantAccess,0xb38B4E1213c062905FC1A5CD17881382deDF8997,0x640b4d69bace556955629bebb3765a37df1b6967bc6d34af8640402f4aa50858,9365.223081,13484.566551,4119.34,1823,SUCCESS,43822,43822,22658
P11_GrantFinancial_3,grantAccess,0xb2AaBba6EE87642EC287a7A44035dC0d1582C628,0xcde7bd0911c881d36a32b80237c8d0aef6345cee2857fd14d08c2ccdd2976ede,9363.599593,13484.835404,4121.24,1823,SUCCESS,43822,43822,22658
